id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
0bDw4crr1aysTpUTjI3Wqx,Club 8,26,['swedish indie pop'],18304,swedish indie pop,,,,,NA,NA
2xFvycgO8RcKhdZPo5hMmp,Alchemist Project,26,['klubowe'],9717,klubowe,,,,,NA,NA
39Yw8FPJXDJyf5L4vK7TD3,Snuff,26,"['melodic hardcore', 'power-pop punk', 'ska punk', 'skate punk']",26146,melodic hardcore,power-pop punk,ska punk,skate punk,,NA,NA
13HCSe8J92zo90TYuzjeHB,CKK,26,"['german cloud rap', 'german trap']",4919,german cloud rap,german trap,,,,NA,NA
5HmLR4HqjD26gswK3dkxI5,Swishahouse Presents,26,"['chopped and screwed', 'houston rap']",17306,chopped and screwed,houston rap,,,,NA,NA
4vIlHBnzWKbmWe8ZOkT1ZT,Lil Yase,26,['cali rap'],30258,cali rap,,,,,NA,NA
5tGDXwaO3qq4w9mAhZHwZY,Seamus Blake,26,"['canadian modern jazz', 'jazz saxophone', 'straight-ahead jazz']",11159,canadian modern jazz,jazz saxophone,straight-ahead jazz,,,NA,NA
0vDdlaPkN2w0ibESVsrI3F,The Network,27,['bay area indie'],26904,bay area indie,,,,,NA,NA
7HY8lCkyEUSL5jfENlkshV,Glenn Jones,27,"['american primitive', 'drone folk']",11816,american primitive,drone folk,,,,NA,NA
1LLPuhfbAFbEac4iGsv4s8,Nirwana Band,27,['indonesian pop rock'],34757,indonesian pop rock,,,,,NA,NA
4AAXAVOZ3fw7M8ILLrKLvs,We Are The Union,27,"['easycore', 'modern ska punk', 'ska', 'ska punk']",23109,easycore,modern ska punk,ska,ska punk,,NA,NA
0OVmEzLDCaJvoQzKXWuY84,The Beets,27,"['garage pop', 'indie garage rock']",16600,garage pop,indie garage rock,,,,NA,NA
5xtI3rNhEt5oabFUSZWBhm,Emad Sayyah,27,"['belly dance', 'darbuka']",7243,belly dance,darbuka,,,,NA,NA
2zSHqHILFTgz1xT3hopJQr,Ray Boltz,27,['christian music'],35590,christian music,,,,,NA,NA
7MsfV9iU1jXeSocUOSL971,Father's Children,27,['traditional soul'],9936,traditional soul,,,,,NA,NA
3OmuR7XFXBig8yLeMSm9mU,Barry Mann,27,"['brill building pop', 'doo-wop']",6013,brill building pop,doo-wop,,,,NA,NA
2KVSnLE8OkCi50mbRsBtWU,Cvlt Ov the Svn,28,['finnish metal'],13329,finnish metal,,,,,NA,NA
3fUJRJVTuLiDGLXk0TBPuS,Caneras,28,['turbo folk'],54460,turbo folk,,,,,NA,NA
4J33tsbR21m58WoT2ROPad,Alitasia,28,['classic venezuelan pop'],5081,classic venezuelan pop,,,,,NA,NA
6BJ87U6Uhgfu6RWcWGRkPq,Grass Kid,28,['chill house'],792,chill house,,,,,NA,NA
3v5Fnk4Ndo6TlWhltaFdp6,I'm DMA,28,['hard bass'],2894,hard bass,,,,,NA,NA
5Hr53UjzhLt2qU7XL7OFh8,John Garcia,28,"['palm desert scene', 'stoner metal', 'stoner rock']",28794,palm desert scene,stoner metal,stoner rock,,,NA,NA
2tMAaxsOEo9KCueEhtf2rp,Deficit,28,['australian metalcore'],6995,australian metalcore,,,,,NA,NA
75F4LwSWRqzT10Lw1xMRCP,Bebo & Cachao,28,"['latin jazz', 'musica tradicional cubana']",1200,latin jazz,musica tradicional cubana,,,,NA,NA
4nFeDokrGnnfMWMMZBjvan,Angerkill,28,['uptempo hardcore'],3334,uptempo hardcore,,,,,NA,NA
1nf0nRF0W4ybnJdda00pKY,The Swon Brothers,28,"['classic oklahoma country', 'contemporary country', 'country pop', 'deep talent show', 'modern country rock']",41711,classic oklahoma country,contemporary country,country pop,deep talent show,modern country rock,NA,NA
59DcOmdlmKUgsUrb2S7Nb6,DMVU,28,['experimental bass'],21557,experimental bass,,,,,NA,NA
5vuEKqaoIXJjZWOGxfXCzN,Arms Akimbo,28,"['hopebeat', 'la indie']",9903,hopebeat,la indie,,,,NA,NA
2TzDFGYjzVbaSEA3msOpqI,Lando Chill,29,"['experimental hip hop', 'jazz rap']",8789,experimental hip hop,jazz rap,,,,NA,NA
6lyZLY4z9hbigu4C7VUwPe,Elma Sinanovic,29,"['narodna muzika', 'turbo folk']",24247,narodna muzika,turbo folk,,,,NA,NA
3nm0KMLo1Z6hyJ4QYa0x9r,The Business,29,"['oi', 'punk', ""punk 'n' roll""]",48036,oi,punk,punk 'n' roll,,,NA,NA
0mopUs7SL5szuPOcOsS73A,Georgie Fame & The Blue Flames,29,"['british blues', 'british invasion']",10550,british blues,british invasion,,,,NA,NA
7rXo5QTwwFBYZ5Z3veUVg8,Texas Is The Reason,29,"['emo', 'emo punk', 'midwest emo', 'post-hardcore']",36138,emo,emo punk,midwest emo,post-hardcore,,NA,NA
7hsuVq0DQonl3PnP7qkfvP,The Sapphires,29,"['brill building pop', 'northern soul', 'philly soul']",4743,brill building pop,northern soul,philly soul,,,NA,NA
1U7SiJjX2xOz8I0QFCEeDK,Paolo Ferrara,29,"['spanish techno', 'vintage italian soundtrack']",11653,spanish techno,vintage italian soundtrack,,,,NA,NA
5AcIoQwjyBFFjzxh8UAQlj,Mother Falcon,29,"['austindie', 'chamber pop', 'shimmer psych', 'stomp and whittle']",28867,austindie,chamber pop,shimmer psych,stomp and whittle,,NA,NA
1VFYpTpgmp7ANXqok2dTg3,The Body,29,"['death industrial', 'drone', 'drone metal', 'new england metal', 'noise rock', 'post-doom metal', 'post-metal', 'rhode island indie', 'sludge metal']",57243,death industrial,drone,drone metal,new england metal,noise rock,NA,NA
5FKABVMDKiED2mhi8bFSVx,First State,29,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",20129,dutch trance,progressive house,progressive trance,trance,uplifting trance,NA,NA
5R76YG5aRtZcXohk9NUju2,Rev. Timothy Wright,29,['gospel'],56539,gospel,,,,,NA,NA
2LLoV50BjWiUio4K2t4fGN,Lapili,29,['rap latina'],19416,rap latina,,,,,NA,NA
4l65AlrXvlx2y500dqKcI2,Cristy Lane,29,['country gospel'],5310,country gospel,,,,,NA,NA
3K0u138EjCuhbWEwUnGwmu,Roets,29,['dutch hip hop'],4621,dutch hip hop,,,,,NA,NA
4hX5bnF8mzbfHS8v9uHOwk,Flight Paths,29,"['gymcore', 'post-screamo']",13908,gymcore,post-screamo,,,,NA,NA
552SWmdxvYk7tpaizbQlhO,WDNG Crshrs,29,['atl hip hop'],16522,atl hip hop,,,,,NA,NA
2J0gmf5wvuKOImyWFuvTv5,Unspokenviews,29,['oc rap'],1476,oc rap,,,,,NA,NA
05ycwBAg6CYEweEbZgAYeT,Sukrit Wisetkaew,30,['thai pop'],121723,thai pop,,,,,NA,NA
2ilDS07rnwdAstfI0xLGKb,Ernstly Etienne,30,['pop worship'],2752,pop worship,,,,,NA,NA
36JJbH66Q0tZbKcnjvliDT,Wubbaduck,30,['gaming dubstep'],24913,gaming dubstep,,,,,NA,NA
